cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/4/06 15:25,3100 BROADWAY,6,6A        ,1011,TOWED/STORED VEH-14602.6,7000,38.55555724,-121.4723384
1/4/06 15:26,9TH ST / E ST,3,3A        ,714,496(A) RECEIVE STOLEN PROPERTY,2803,38.58614084,-121.4924524
1/4/06 15:31,FLORIN RD / MUNSON WAY,5,5B        ,1359,TOWED/STORED VEH-14602.6,7000,38.49603233,-121.4619674
1/4/06 15:45,2324 22ND AVE,4,4B        ,968,TOWED/STORED VEHICLE,7000,38.53293942,-121.4852516
1/4/06 15:48,7417 TROON WAY,5,5A        ,1385,MISCELLANEOUS I RPT (ZMISC),7000,38.48940865,-121.482931
1/4/06 15:50,24TH ST / YREKA AVE,4,4B        ,1356,11364 HS POSS DRUG PARAPH,3599,38.49850245,-121.4827604
1/4/06 15:52,GRAND AVE / NORWOOD AVE,2,2A        ,502,TRAFFIC-ACCIDENT-NON INJURY,5400,38.63679611,-121.4569383
1/4/06 15:56,801 K ST,3,3M        ,742,647(F) PC PUB INTOX-DETOX ONLY,5311,38.58010158,-121.4960076
1/4/06 16:00,4639 MACK RD,5,5B        ,1603,647(F) PC PUB INTOX-DETOX ONLY,5311,38.47435531,-121.448452
1/4/06 16:00,1309 SILICA AVE,2,2C        ,605,BATTERY - I RPT,7000,38.60888339,-121.4367656
1/4/06 16:00,32ND AVE / FRANKLIN BLVD,4,4B        ,988,TOWED/STORED VEH-14602.6,7000,38.52367283,-121.471459
1/4/06 16:00,2001 J ST,3,3B        ,736,484 PC   PETTY THEFT/INSIDE,2308,38.57682697,-121.4795444
1/4/06 16:03,2820 O ST,3,3B        ,768,THREATS - I RPT,7000,38.56776187,-121.470898
1/4/06 16:12,7601 52ND AVE,6,6C        ,1445,422 PC THREAT/INTENT TO TERROR,1602,38.50492491,-121.4147208
1/4/06 16:12,BROADWAY / 33RD ST,6,6A        ,1012,TOWED/STORED VEHICLE,7000,38.55385441,-121.4704591
1/4/06 16:15,FRANKLIN BLVD / COSUMNES RIVER BLVD,5,5B        ,1634,TOWED/STORED VEH-14602.6,7000,38.46223959,-121.4466002
1/4/06 16:20,23RD ST / 2ND AVE,4,4A        ,907,TOWED/STORED VEH-14602.6,7000,38.55559631,-121.484665
1/4/06 16:21,4108 FRANKLIN BLVD,4,4B        ,958,TOWED/STORED VEH-14602.6,7000,38.53710124,-121.4752437
1/4/06 16:25,3950 TRUXEL RD,1,1A        ,327,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.6412195,-121.5078891
1/4/06 16:30,1025 ALHAMBRA BLVD,3,3C        ,841,666 PC PETTY THEFT W/PRI CONV,2399,38.57188611,-121.4648897
1/4/06 16:30,414 K ST,3,3M        ,742,484 PETTY THEFT-SHOPLIFT,2303,38.58062786,-121.5014996
1/4/06 16:30,K ST / 3RD ST,3,3M        ,742,11357(B)HS POSS -28.5GR MARIJ,3562,38.58165678,-121.5032275
1/4/06 16:40,FRANKLIN BLVD / FRUITRIDGE RD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,38.52488785,-121.4717471
1/4/06 16:44,T ST / 27TH ST,3,3B        ,778,TOWED/STORED VEHICLE,7000,38.56318807,-121.4753282
1/4/06 16:50,3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
1/4/06 16:50,K ST / 8TH ST,3,3M        ,742,GANG ACTIVITY - I RPT,7000,38.57991197,-121.4966071
1/4/06 16:52,3813 ALDER ST,2,2A        ,505,594(B)(2)(A) VANDALISM/ -$400,2999,38.63712953,-121.4376102
1/4/06 16:54,1511 DEL PASO BLVD,2,2C        ,602,476 PC PASS FICTICIOUS CHECK,2501,38.60683427,-121.4585103
1/4/06 17:00,1025 ALHAMBRA BLVD,3,3C        ,841,484 PETTY THEFT-SHOPLIFT,2303,38.57188611,-121.4648897
1/4/06 17:00,2206 SANDCASTLE WAY,1,1B        ,444,NARCOTICS SUSP/EVID/ACT- I RPT,7000,38.61157282,-121.4916239
1/4/06 17:00,118 I ST,3,3M        ,731,487(A) PC GRAND THEFT,2303,38.58426601,-121.504007
1/4/06 17:00,1320 TUMBLEWEED WAY,1,1B        ,403,12025(A)2)CNCLD GUN ON PER/FEL,5202,38.62806276,-121.4911353
1/4/06 17:00,69TH ST / LEMON HILL AVE,6,6C        ,1403,TOWED/STORED VEHICLE,7000,38.51602543,-121.4237449
1/4/06 17:00,1025 ALHAMBRA BLVD,3,3C        ,841,484 PC PETTY THEFT,2399,38.57188611,-121.4648897
1/4/06 17:02,FRANKLIN BLVD / FRUITRIDGE RD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,38.52488785,-121.4717471
1/4/06 17:05,3409 SAN CARLOS WAY,6,6A        ,1042,TOWED/STORED VEHICLE,7000,38.54359005,-121.4615285
1/4/06 17:05,FRANKLIN BLVD / 18TH AVE,4,4B        ,958,TOWED/STORED VEH-14602.6,7000,38.53627722,-121.4745855
1/4/06 17:15,7515 32ND ST,5,5A        ,1398,TOWED/STORED VEHICLE,7000,38.48632776,-121.4714034
1/4/06 17:18,FRANKLIN BLVD / FRUITRIDGE RD,4,4B        ,969,TOWED/STORED VEHICLE,7000,38.52488785,-121.4717471
1/4/06 17:19,3400 SAN CARLOS WAY,6,6A        ,1042,TOWED/STORED VEHICLE,7000,38.54370562,-121.462171
