cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/26/06 14:00,515 P ST,3,3A        ,763,BATTERY - I RPT,7000,38.57550673,-121.5021475
1/26/06 14:09,8151 POWER RIDGE RD,6,6C        ,1145,10851 VC AUTO THEFT LOCATE,2404,38.53157904,-121.407542
1/26/06 14:10,3043 MARYSVILLE BLVD,2,2B        ,545,TOWED/STORED VEH-14602.6,7000,38.62278626,-121.4356686
1/26/06 14:13,370 RIVER BEND CIR,4,4A        ,923,TOWED/STORED VEHICLE,7000,38.55777986,-121.5120281
1/26/06 14:19,372 SEAVEY CIR,4,4A        ,912,TOWED/STORED VEHICLE,7000,38.5590559,-121.5111836
1/26/06 14:30,15 CARTHAGE CT,6,6C        ,1443,MISSING PERSON,7000,38.50576856,-121.4181141
1/26/06 14:46,3621 MARYSVILLE BLVD,2,2A        ,515,TOWED/STORED VEH-14602.6,7000,38.63393225,-121.4306582
1/26/06 14:49,CONNIE DR / JULIESSE AVE,2,2C        ,567,10851 VC AUTO THEFT LOCATE,2404,38.62013416,-121.4207473
1/26/06 14:52,MARYSVILLE BLVD / ACACIA AVE,2,2B        ,546,TOWED/STORED VEH-14602.6,7000,38.62130809,-121.4360584
1/26/06 15:00,4964 MACK RD,5,5B        ,1621,459 PC  BURGLARY VEHICLE,2299,38.47390968,-121.4425627
1/26/06 15:07,K ST / 2ND ST,3,3M        ,741,653K PC POSS/SELL SWITCHBLADE,5212,38.58203886,-121.5046032
1/26/06 15:07,34TH ST / 4TH AVE,6,6A        ,1022,TRAFFIC-ACCIDENT-NON INJURY,5400,38.55096189,-121.4702323
1/26/06 15:10,7 RIVER RAFT CT,5,5C        ,1651,459 PC  BURGLARY RESIDENCE,2204,38.44801831,-121.4352434
1/26/06 15:45,BAMFORD DR / GOODVIEW WAY,5,5C        ,1623,243(D) PC BATT/CIVILIAN W/INJ,1315,38.47087617,-121.4297711
1/26/06 15:47,6501 NIELSEN WAY,6,6B        ,1068,10851 VC AUTO THEFT LOCATE,2404,38.53851829,-121.4283286
1/26/06 15:53,LA ROSA RD / TAFT ST,2,2B        ,564,TOWED/STORED VEH-14602.6,7000,38.61843224,-121.4370121
1/26/06 15:56,1143 PEBBLEWOOD DR,1,1C        ,416,TOWED/STORED VEH-14602.6,7000,38.62259183,-121.4859274
1/26/06 15:56,2549 DEL PASO BLVD,2,2B        ,563,TOWED/STORED VEH-14602.6,7000,38.61363201,-121.4460587
1/26/06 16:00,915 SUNWOOD WAY,4,4C        ,1286,459 PC  BURGLARY RESIDENCE,2204,38.48899394,-121.5251663
1/26/06 16:00,8TH ST / K ST,3,3M        ,742,LOST PROPERTY - I RPT,7000,38.57991197,-121.4966071
1/26/06 16:00,6600 RANCHO MADERA WAY,6,6C        ,1443,10851(A)VC TAKE VEH W/O OWNER,2404,38.50713141,-121.4243199
1/26/06 16:00,7468 24TH ST,5,5A        ,1385,MISSING PERSON I RPT,7000,38.48823968,-121.4806581
1/26/06 16:00,2250 68TH AVE,5,5A        ,1384,243.2(A)(1) BATT/SCHOOL INJURY,1315,38.48934244,-121.4859396
1/26/06 16:00,3312 BELDEN ST,2,2B        ,525,484 PETTY THEFT/LICENSE PLATE,2399,38.62863462,-121.4412303
1/26/06 16:00,5555 FLORIN PERKINS RD,6,6C        ,1147,487(A) PC GRAND THEFT,2303,38.52615247,-121.3884382
1/26/06 16:00,DEL PASO BLVD / ELEANOR AVE,2,2B        ,564,TOWED/STORED VEH-14602.6,7000,38.61564793,-121.4427075
1/26/06 16:00,10 SINSKEY CT,5,5C        ,1654,SUSPICIOUS VEHICLE - I RPT,7000,38.44613053,-121.4097064
1/26/06 16:02,518 14TH ST,3,3A        ,725,TOWED/STORED VEHICLE,7000,38.58373458,-121.486043
1/26/06 16:04,3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
1/26/06 16:08,5629 CAPSTAN WAY,4,4A        ,1221,O/S AGENCY -ASSISTANCE- I RPT,7000,38.52474322,-121.5238205
1/26/06 16:16,137 OTTO CIR,4,4B        ,1336,10851 VC AUTO THEFT LOCATE,2404,38.50773512,-121.4762318
1/26/06 16:19,3131 PALMER ST,2,2B        ,546,CASUALTY REPORT,7000,38.6247477,-121.4307875
1/26/06 16:20,X ST / 16TH ST,4,4A        ,906,NON INJ HR/MAIL OUT REPORT,7000,38.56268259,-121.4918953
1/26/06 16:31,SWARTHMORE DR / HOWE AVE,3,3C        ,877,20001(A) VC HIT/RUN INJ/DEATH,5401,38.56536191,-121.4090347
1/26/06 16:43,SOUTH AVE / MARYSVILLE BLVD,2,2B        ,516,TOWED/STORED VEH-14602.6,7000,38.63292418,-121.4305962
1/26/06 16:45,8387 FOLSOM BLVD,3,3C        ,1115,11377(A)HS POSS AMPHETAMINES,3572,38.54818818,-121.3940644
1/26/06 16:46,GLENROSE AVE / DEL PASO BLVD,2,2B        ,564,TOWED/STORED VEH-14602.6,7000,38.61564793,-121.4427075
1/26/06 16:48,BANNON CREEK DR / CROSSMILL WAY,1,1B        ,424,243(D) PC BATT/CIVILIAN W/INJ,1315,38.61675238,-121.501905
1/26/06 16:50,4408 TRUXEL RD,1,1A        ,307,10851(A)VC TAKE VEH W/O OWNER,2404,38.65024515,-121.5091329
1/26/06 16:51,24TH ST / FLORIN RD,4,5A        ,1356,TOWED/STORED VEHICLE,7000,38.49575914,-121.4827348
