cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/24/06 1:32,17TH ST / T ST,3,3A        ,775,11377(A)HS POSS AMPHETAMINES,3572,38.56674052,-121.4886487
1/24/06 1:33,BROADWAY / SAN RAFAEL CT,6,6A        ,1015,211 PC  ROBBERY UNSPECIFIED,1299,38.5467716,-121.458959
1/24/06 2:00,2624 53RD ST,6,6B        ,1017,CASUALTY REPORT,7000,38.55103901,-121.4439429
1/24/06 2:00,6647 VALLEY HI DR,5,5C        ,1623,10851(A)VC TAKE VEH W/O OWNER,2404,38.47199619,-121.428592
1/24/06 2:00,5836 79TH ST,6,6C        ,1405,VANDALISM - I RPT,7000,38.52084905,-121.4120841
1/24/06 2:01,STOCKTON BLVD / 32ND ST,3,3C        ,851,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.56446867,-121.4665332
1/24/06 2:06,W EL CAMINO AVE / I 5 NB,1,1B        ,422,245(A)(2) AWDW/FIREARM/CIVILIA,1315,38.61490968,-121.5121866
1/24/06 2:20,STOCKTON BLVD / BAKER AVE,6,          ,1064,11364 HS POSS DRUG PARAPH,3599,38.53266824,-121.4461521
1/24/06 2:30,1416 BREWERTON DR,1,1B        ,435,594(B)(1)PC  VANDALISM +$400,2999,38.61569463,-121.4922875
1/24/06 2:37,3554 NORTHGATE BLVD,1,1C        ,419,594(B)(1)PC  VANDALISM +$400,2999,38.63262477,-121.4747506
1/24/06 3:00,1100 17TH ST,3,3M        ,746,5150 WI DANGER SELF/OTHERS,7000,38.57642774,-121.4848294
1/24/06 3:05,4800 KOKOMO DR,1,1A        ,123,459 PC  BURGLARY BUSINESS,2203,38.6593321,-121.5231067
1/24/06 3:17,LEMON HILL AVE / 40TH AVE,6,6C        ,1404,TOWED/STORED VEH-14602.6,7000,38.51613758,-121.4111198
1/24/06 3:49,3034 MUSKRAT WAY,1,1A        ,344,451(B) PC ARSON OF INHAB STRUC,2099,38.63136239,-121.5298996
1/24/06 4:00,8360 LANGTREE WAY,5,5C        ,1644,MISSING PERSON,7000,38.45387196,-121.4362238
1/24/06 4:30,3967 2ND AVE,6,6A        ,1014,459 PC  BURGLARY RESIDENCE,2204,38.55119375,-121.4609781
1/24/06 5:02,4985 STOCKTON BLVD,6,6B        ,1086,594(B)(2)(A) VANDALISM/ -$400,2999,38.53046628,-121.4433516
1/24/06 5:30,8637 FOLSOM BLVD,3,3C        ,1116,459 PC  BURGLARY BUSINESS,2203,38.54983126,-121.3848854
1/24/06 5:34,53RD ST / YOUNG ST,6,6B        ,1401,11364 HS POSS DRUG PARAPH,3599,38.52393354,-121.4438954
1/24/06 6:00,27 ZEPHYR COVE CIR,4,4C        ,1282,LOST PROPERTY - I RPT,7000,38.49477029,-121.5467908
1/24/06 6:30,400 BANNON ST,3,3A        ,704,12.52.030 SCC UNLAWFUL CAMPING,7399,38.59540732,-121.4978798
1/24/06 6:50,5334 12TH AVE,6,6B        ,1056,459 PC  BURGLARY RESIDENCE,2204,38.54105373,-121.4431606
1/24/06 7:00,1342 PALOMAR CIR,4,4C        ,1279,MISSING PERSON,7000,38.49793266,-121.5076046
1/24/06 7:00,2836 GRASSLANDS DR,1,1B        ,421,459 PC  BURGLARY RESIDENCE,2204,38.61613902,-121.5185481
1/24/06 7:38,22ND AVE / FRANKLIN BLVD,4,4B        ,969,TOWED/STORED VEHICLE,7000,38.53275029,-121.4737305
1/24/06 7:40,29TH ST / H ST,3,3B        ,728,TRAFFIC-ACCIDENT INJURY,5400,38.57566567,-121.4669217
1/24/06 7:45,5625 DALHART WAY,1,1A        ,103,O/S AGENCY -ASSISTANCE- I RPT,7000,38.67792841,-121.5246636
1/24/06 7:53,5980 VALLEY VALE WAY,5,5B        ,1633,HIT AND RUN /SUSPECTS- I RPT,7000,38.461159,-121.4327124
1/24/06 7:55,715 L ST,3,3M        ,742,3056 PAROLE VIO - I RPT,7000,38.57905171,-121.4976906
1/24/06 7:55,RIO LINDA BLVD / CARMELITA AVE,2,2B        ,523,TRAFFIC-ACCIDENT INJURY,5400,38.62968232,-121.446116
1/24/06 7:55,3727 20TH AVE,6,6A        ,1061,MISCELLANEOUS I RPT (ZMISC),7000,38.53457035,-121.4670223
1/24/06 7:57,DEL PASO RD / TRUXEL RD,1,1A        ,145,TOWED/STORED VEH-14602.6,7000,38.65599922,-121.5120524
1/24/06 7:57,26TH AVE / FRANKLIN BLVD,4,4B        ,969,TOWED/STORED VEHICLE,7000,38.52904451,-121.4727965
1/24/06 7:59,FRANKLIN BLVD / 13TH AVE,4,4B        ,958,TOWED/STORED VEHICLE,7000,38.54031271,-121.4755662
1/24/06 8:00,7300 MARIN AVE,6,6C        ,1132,JUVENILE PROBLEMS - I RPT,7000,38.53306765,-121.4178811
1/24/06 8:00,5740 WALLACE AVE,6,6C        ,1404,475(C) PASS FORGED NOTE,2506,38.52258034,-121.4177778
1/24/06 8:00,7835 TIERRA GLEN WAY,6,6C        ,1445,530.5 PC USE PERSONAL ID INFO,2604,38.50022327,-121.4124426
1/24/06 8:00,23 MOSES CT,5,5B        ,1618,487(A) PC GRAND THEFT,2303,38.46448285,-121.4605041
1/24/06 8:00,4875 BROADWAY,6,6B        ,1007,ELDER ABUSE/PHYS/MENTAL-I RPT,7000,38.54751665,-121.4509881
1/24/06 8:04,1600 VALLEJO WAY,4,4A        ,925,CASUALTY REPORT,7000,38.55199422,-121.4960208
