cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/25/06 12:19,2150 STOCKTON BLVD,6,6B        ,1003,MISSING PERSON,7000,38.55727813,-121.4614322
1/25/06 12:20,4956 MACK RD,5,5B        ,1621,THREATS - I RPT,7000,38.4735965,-121.4436724
1/25/06 12:30,7235 ALPINE FROST DR,5,5C        ,1637,459 PC  BURGLARY RESIDENCE,2204,38.46030551,-121.419539
1/25/06 12:30,3351 FRANKLIN BLVD,4,4A        ,937,459 PC  BURGLARY VEHICLE,2299,38.54435543,-121.4757183
1/25/06 12:37,310 ZEPHYR RANCH DR,4,4C        ,1282,CASUALTY REPORT,7000,38.49261747,-121.5510111
1/25/06 12:40,1ST AVE / ALHAMBRA BLVD,6,6A        ,1011,TOWED/STORED VEH-14602.6,7000,38.55513128,-121.4728661
1/25/06 12:41,K ST / 8TH ST,3,3M        ,742,3056 PAROLE VIO - I RPT,7000,38.57991197,-121.4966071
1/25/06 12:45,2530 WAH AVE,4,4B        ,1356,242 PC  BATTERY CIVILIAN,1313,38.50039746,-121.480381
1/25/06 12:50,2121 GRAND AVE,2,2A        ,517,11350(A)HS POSS CNTRL SUBST,3532,38.6369007,-121.4174182
1/25/06 12:52,6879 14TH AVE,6,6C        ,1121,415(1) PC DISTURB PEACE/FIGHT,5311,38.54146972,-121.4254625
1/25/06 13:00,2646 ALBATROSS WAY,2,2C        ,568,POSS STOLEN VEHICLE- I RPT,7000,38.61370233,-121.422231
1/25/06 13:04,8581 FOLSOM BLVD,3,3C        ,1116,10851 VC AUTO THEFT LOCATE,2404,38.5490874,-121.3870109
1/25/06 13:05,3066 FREEPORT BLVD,4,4A        ,925,GANG ACTIVITY - I RPT,7000,38.5488551,-121.4908853
1/25/06 13:07,3639 4TH AVE,6,6A        ,1013,TOWED/STORED VEHICLE,7000,38.55033897,-121.4667332
1/25/06 13:09,14TH AVE / 65TH ST,6,6B        ,1058,VANDALISM - I RPT,7000,38.53958509,-121.4286068
1/25/06 13:16,1200 N B ST,3,3A        ,706,SUSP PERS-NO CRIME - I RPT,7000,38.59007055,-121.4856685
1/25/06 13:20,5500 MACK RD,5,5C        ,1623,TOWED/STORED VEH-14602.6,7000,38.47345298,-121.4355908
1/25/06 13:25,2ND AVE / STOCKTON BLVD,6,6A        ,1005,TOWED/STORED VEHICLE,7000,38.55117621,-121.4554708
1/25/06 13:30,5641 FREEPORT BLVD,4,4B        ,986,FOUND PROPERTY - I RPT,7000,38.52289837,-121.4973097
1/25/06 13:30,3RD ST / K ST,3,3M        ,742,594(B)(1)PC  VANDALISM +$400,2999,38.58165678,-121.5032275
1/25/06 13:35,301 DOOLITTLE ST,2,2A        ,236,602.5 PC ENTRY OF PROPERTY,5707,38.64317482,-121.425595
1/25/06 13:35,STOCKTON BLVD / 7TH AVE,6,6A        ,1035,TOWED/STORED VEH-14602.6,7000,38.54524705,-121.453002
1/25/06 13:45,BROADWAY / 3RD AVE,6,6A        ,1013,TOWED/STORED VEH-14602.6,7000,38.55187781,-121.4687673
1/25/06 13:50,5770 FREEPORT BLVD,4,4C        ,985,FOUND PROPERTY - I RPT,7000,38.52199137,-121.4990149
1/25/06 14:00,2338 FRUITRIDGE RD,4,4B        ,987,484 PC   PETTY THEFT/INSIDE,2308,38.52438889,-121.4840933
1/25/06 14:00,7621 23RD ST,5,5A        ,1503,MISSING PERSON,7000,38.47998982,-121.4828734
1/25/06 14:00,1485 PEBBLEWOOD DR,1,1C        ,414,BURGLARY - I RPT,7000,38.62210918,-121.4954411
1/25/06 14:00,2319 68TH AVE,5,5A        ,1364,FRAUD OR BUNCO - I RPT,7000,38.49050038,-121.4832865
1/25/06 14:00,33RD ST / BROADWAY,6,6A        ,1012,TOWED/STORED VEH-14602.6,7000,38.55385441,-121.4704591
1/25/06 14:02,BROADWAY / 3RD AVE,6,6A        ,1013,TOWED/STORED VEH-14602.6,7000,38.55187781,-121.4687673
1/25/06 14:14,RALEY BLVD / I 80 EB,2,2A        ,506,TRAFFIC-ACCIDENT INJURY,5400,38.64268168,-121.4291563
1/25/06 14:19,1695 ARDEN WAY,2,2C        ,616,484 PC PETTY THEFT,2399,38.6017616,-121.4258271
1/25/06 14:30,1100 17TH ST,3,3M        ,746,BATTERY - I RPT,7000,38.57642774,-121.4848294
1/25/06 14:30,809 UNION ST,2,2B        ,523,HAZARDOUS SITUATION - I RPT,7000,38.62821864,-121.4472475
1/25/06 14:30,20 LIGHT SKY CT,6,6C        ,1427,SUSP PERS-NO CRIME - I RPT,7000,38.51236009,-121.3802909
1/25/06 14:30,ARDEN WAY / BLUMENFELD DR,2,2C        ,605,TRAFFIC-ACCIDENT-NON INJURY,5400,38.6051444,-121.4381004
1/25/06 14:39,ARDEN WAY / HERITAGE LN,2,2C        ,619,NON INJ HR/MAIL OUT REPORT,7000,38.60034763,-121.4286413
1/25/06 14:40,6800 CUNNINGHAM WAY,6,6C        ,1443,211 PC  ROBBERY UNSPECIFIED,1299,38.50482469,-121.4270608
1/25/06 14:40,OLMSTEAD DR / HUBER CT,2,2B        ,531,10851 VC AUTO THEFT LOCATE,2404,38.62298046,-121.4644292
1/25/06 14:44,G ST / 10TH ST,3,3A        ,724,TRAFFIC-ACCIDENT-NON INJURY,5400,38.58358534,-121.4920473
