cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/21/06 11:09,3555 AUBURN BLVD,2,2A        ,509,VANDALISM - I RPT,7000,38.63862878,-121.3815598
1/21/06 11:30,7TH ST / K ST,3,3M        ,742,NON INJ HR/MAIL OUT REPORT,7000,38.58026647,-121.4979339
1/21/06 11:45,1625 H ST,3,3B        ,726,10851(A)VC TAKE VEH W/O OWNER,2404,38.58039444,-121.4833315
1/21/06 11:50,6866 CARNATION AVE,4,4B        ,1356,FAMILY DISTURBANCE - I RPT,7000,38.50071721,-121.4757836
1/21/06 12:00,4500 TRUXEL RD,1,1A        ,306,10851(A)VC TAKE VEH W/O OWNER,2404,38.65357208,-121.5095127
1/21/06 12:00,2825 ALTOS AVE,2,2B        ,543,484 PETTY THEFT/LICENSE PLATE,2399,38.61912195,-121.4485291
1/21/06 12:00,1624 JANRICK AVE,5,5A        ,1501,459 PC  BURGLARY RESIDENCE,2204,38.4764821,-121.4994563
1/21/06 12:00,4319 13TH AV,6,6A        ,1053,484 PC   PETTY THEFT/INSIDE,2308,38.54041688,-121.4559025
1/21/06 12:02,415 12TH ST,3,3A        ,715,TRAFFIC-ACCIDENT-NON INJURY,5400,38.5857662,-121.4878161
1/21/06 12:08,5631 53RD ST,6,6B        ,1401,11350(A)HS POSS CNTRL SUBST,3532,38.52433302,-121.4435986
1/21/06 12:20,W EL CAMINO AVE / E LEVEE RD,1,1C        ,429,11350(B)HS POSSESS QUAALUDES,3582,38.61118361,-121.4679405
1/21/06 12:30,6685 STOCKTON BLVD,6,6C        ,1441,484G(B) PC ACCESS CARD FRAUD,2605,38.50557133,-121.4331388
1/21/06 12:45,6411 ROMACK CIR,4,4B        ,1333,273.6(A) PC VIO DV COURT ORDER,5007,38.51153512,-121.4915289
1/21/06 12:51,BIGLER WAY / MARTIN LUTHER KING JR BLVD,6,6A        ,1032,20002(A) HIT/RUN,5401,38.54681762,-121.464721
1/21/06 12:59,5610 STOCKTON BLVD,6,6B        ,1401,TRAFFIC-ACCIDENT-NON INJURY,5400,38.52439535,-121.4428571
1/21/06 13:00,1500 A ST,3,3A        ,706,10851(A)VC TAKE VEH W/O OWNER,2404,38.58814554,-121.4819494
1/21/06 13:20,1689 ARDEN WAY,2,2C        ,619,459 PC  BURGLARY VEHICLE,2299,38.60154457,-121.42747
1/21/06 13:46,3600 52ND ST,6,6B        ,1054,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.54159853,-121.4456772
1/21/06 14:00,1021 ANDY CIR,2,2A        ,224,MISSING PERSON,7000,38.64844939,-121.4418103
1/21/06 14:00,986 SUNWOOD WAY,4,4C        ,1286,459 PC  BURGLARY RESIDENCE,2204,38.49024257,-121.5216468
1/21/06 14:00,4016 SAN CARLOS WAY,6,6A        ,1052,1708 US   THEFT OF MAIL,2310,38.5382684,-121.4621176
1/21/06 14:00,2955 FREEPORT BLVD,4,4A        ,936,487(A) GRAND THEFT-COIN MACHIN,2307,38.55076075,-121.488389
1/21/06 14:10,MACK RD / CENTER PKWY,5,5B        ,1606,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.47425283,-121.4368769
1/21/06 14:21,7300 WYNDHAM DR,5,5C        ,1639,211 PC ROBBERY-PURSE SNATCH,1210,38.46817048,-121.4191049
1/21/06 14:25,HARRIS AVE / VERN ST,2,2A        ,511,TOWED/STORED VEHICLE,7000,38.63860717,-121.4549149
1/21/06 14:30,MARYSVILLE BLVD / GRAND AVE,2,2A        ,506,484 PETTY THEFT/LICENSE PLATE,2399,38.63647881,-121.4297591
1/21/06 14:51,43RD ST / 8TH AVE,6,6A        ,1034,211 PC  ROBBERY UNSPECIFIED,1299,38.54454492,-121.4566752
1/21/06 15:00,1695 ARDEN WAY,2,2C        ,616,484 PETTY THEFT-SHOPLIFT,2303,38.6017616,-121.4258271
1/21/06 15:00,6294 FENNWOOD CT,4,4C        ,1255,459 PC  BURGLARY-UNSPECIFIED,2299,38.51275848,-121.5194794
1/21/06 15:00,6287 JACINTO AVE,5,5C        ,1653,459 PC  BURGLARY VEHICLE,2299,38.44383213,-121.4293793
1/21/06 15:06,615 LAMPASAS AVE,2,2B        ,552,459 PC  BURGLARY RESIDENCE,2204,38.61508987,-121.4517802
1/21/06 15:19,3710 FRANKLIN BLVD,4,4B        ,958,484 PC   PETTY THEFT/INSIDE,2308,38.54049185,-121.4763166
1/21/06 15:30,8020 CAPISTRANO WAY,6,6C        ,1424,484 PETTY THEFT CLOUT UNLOCKED,2305,38.51154968,-121.4101581
1/21/06 15:34,BAMFORD DR / VALLEY HI DR,5,5C        ,1624,BAIT CAR 10851 VC TAKE VEHICLE,2404,38.4706931,-121.4271773
1/21/06 15:37,NORTHGATE BLVD / ROSIN CT,1,1C        ,409,TRAFFIC-ACCIDENT INJURY,5400,38.63659439,-121.4763493
1/21/06 15:55,4303 NORWOOD AVE,2,2A        ,232,CASUALTY REPORT,7000,38.64619279,-121.4587154
1/21/06 15:57,2451 MEADOWVIEW RD,5,5A        ,1396,MISCELLANEOUS I RPT (ZMISC),7000,38.48306838,-121.4774573
1/21/06 15:59,6155 11TH AVE,6,6B        ,1047,243(D) PC BATT/CIVILIAN W/INJ,1315,38.54247278,-121.4334191
1/21/06 16:00,1689 ARDEN WAY,2,2C        ,619,LOST PROPERTY - I RPT,7000,38.60154457,-121.42747
1/21/06 16:00,8 CASA DEL ESTE CT,6,6C        ,1443,MISSING PERSON,7000,38.50842529,-121.4266405
