cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/31/06 18:31,29TH ST / J ST,3,3B        ,738,TRAFFIC-ACCIDENT INJURY,5400,38.57348427,-121.4678719
1/31/06 18:33,1100 O ST,3,3A        ,764,11377(A)HS POSS AMPHETAMINES,3572,38.57402607,-121.4944065
1/31/06 18:45,FRUITRIDGE RD / 53RD ST,6,6B        ,1084,11352(A)HS SALE/TRANS CNTL SUB,3532,38.52496323,-121.4438874
1/31/06 19:00,1301 W EL CAMINO AVE,1,1B        ,435,459 PC  BURGLARY BUSINESS,2203,38.61300454,-121.4918727
1/31/06 19:00,1017 LOCHBRAE RD,2,2C        ,612,PERSON INFORMATION - I RPT,7000,38.60254068,-121.4646457
1/31/06 19:00,1431 3RD ST,3,3A        ,762,594(B)(1)PC  VANDALISM +$400,2999,38.57741524,-121.5047263
1/31/06 19:00,5022 58TH ST,6,6B        ,1086,459 PC  BURGLARY VEHICLE,2299,38.52875394,-121.4401734
1/31/06 19:26,22ND ST / MEADOWVIEW RD,5,5A        ,1394,TRAFFIC-ACCIDENT-NON INJURY,5400,38.48142174,-121.4868595
1/31/06 19:30,1590 JULIESSE AVE,2,2B        ,556,487(A) PC GRAND THEFT,2303,38.61925076,-121.4303204
1/31/06 19:30,514 HARTNELL PL,3,3C        ,876,594(B)(2)(A) VANDALISM/ -$400,2999,38.56666634,-121.4150012
1/31/06 19:42,ORTEGA ST / JANSEN DR,6,6B        ,1402,TOWED/STORED VEH-14602.6,7000,38.52206826,-121.4318683
1/31/06 19:43,5148 POMEGRANATE AVE,5,5B        ,1603,242 PC  BATTERY CIVILIAN,1313,38.48346882,-121.4420968
1/31/06 19:45,12TH AVE / 34TH ST,6,6A        ,1041,11350(B)HS POSSESS QUAALUDES,3582,38.54120974,-121.470546
1/31/06 19:45,4585 MACK RD,5,5B        ,1603,487(A) GRAND THEFT-INSIDE,2308,38.47435531,-121.448452
1/31/06 19:57,65TH AVE / 21ST ST,5,5A        ,1364,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.49340569,-121.4919864
1/31/06 19:57,16TH ST / W ST,3,3A        ,785,TOWED/STORED VEHICLE,7000,38.56382548,-121.491401
1/31/06 20:00,2 SUNMEADOW CT,5,5B        ,1614,10851(A)VC TAKE VEH W/O OWNER,2404,38.48001012,-121.4561774
1/31/06 20:00,7870 VALLEY GREEN DR,5,5B        ,1622,10851(A)VC TAKE VEH W/O OWNER,2404,38.46734964,-121.4340917
1/31/06 20:00,3501 MEADOWVIEW RD,5,5B        ,1399,10851(A)VC TAKE VEH W/O OWNER,2404,38.48160193,-121.4654193
1/31/06 20:06,8395 FOLSOM BLVD,3,3C        ,1115,594(B)(1)PC  VANDALISM +$400,2999,38.54711178,-121.3956435
1/31/06 20:15,1714 H ST,3,3B        ,736,11377(A)HS POSS AMPHETAMINES,3572,38.57948479,-121.482551
1/31/06 20:30,5100 STOCKTON BLVD,6,6B        ,1084,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.52823386,-121.4456482
1/31/06 20:30,542 38TH ST,3,3C        ,822,459 PC  BURGLARY RESIDENCE,2204,38.5751825,-121.4539863
1/31/06 20:33,2532 SAN JOSE WAY,6,6A        ,1015,211 PC  ROBBERY UNSPECIFIED,1299,38.55218546,-121.4598901
1/31/06 20:40,CENTER PKWY / MACK RD,5,5B        ,1606,4462.5 VC FALSE TAB/AVOID REG,5499,38.47425283,-121.4368769
1/31/06 20:48,RANCHO ADOBE DR / CUNNINGHAM WAY,6,6C        ,1443,10851 VC AUTO THEFT LOCATE,2404,38.50510076,-121.4268035
1/31/06 20:55,3261 BELDEN ST,2,2B        ,544,23153(A) VC DUI CAUSE INJURY,5404,38.62686447,-121.4420038
1/31/06 21:00,3708 DIDCOT CIR,2,2A        ,501,10851(A)VC TAKE VEH W/O OWNER,2404,38.63519792,-121.4598632
1/31/06 21:10,WYNDHAM DR / VALLEY HI DR,5,5C        ,1624,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.46849636,-121.427181
1/31/06 21:15,100 BICENTENNIAL CIR,3,3C        ,1102,211 PC  ROBBERY UNSPECIFIED,1299,38.55255654,-121.4045564
1/31/06 21:30,STOCKTON BLVD / MCMAHON DR,6,          ,1401,1203.2 PC VIOLATION OF PROBATI,5012,38.51881709,-121.4397584
1/31/06 21:30,2454 KNOLL ST,2,2C        ,605,THREATS - I RPT,7000,38.61006984,-121.4311882
1/31/06 21:32,430 29TH ST,3,3B        ,718,211 PC ROBBERY- BUSINESS,1299,38.57934786,-121.4657048
1/31/06 21:33,ARDEN WAY / BLUMENFELD DR,2,2C        ,605,TRAFFIC-ACCIDENT INJURY,5400,38.6051444,-121.4381004
