cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/13/06 19:00,3RD ST / K ST,3,3M        ,742,GANG ACTIVITY - I RPT,7000,38.58165678,-121.5032275
1/13/06 19:00,CENTER PKWY / BAMFORD DR,5,5B        ,1623,TRAFFIC-ACCIDENT INJURY,5400,38.4702938,-121.4347565
1/13/06 19:00,3131 PALMER ST,2,2B        ,546,MISSING PERSON I RPT,7000,38.6247477,-121.4307875
1/13/06 19:00,6600 BRUCEVILLE RD,5,5C        ,1624,MISCELLANEOUS I RPT (ZMISC),7000,38.47038918,-121.4223876
1/13/06 19:00,6813 BENDER CT,6,6C        ,1131,459 PC  BURGLARY VEHICLE,2299,38.53436161,-121.4245898
1/13/06 19:05,5095 STOCKTON BLVD,6,6B        ,1086,594(B)(1)PC  VANDALISM +$400,2999,38.52868334,-121.4437535
1/13/06 19:10,1896 ARDEN WAY,2,2C        ,628,484 PC PETTY THEFT,2399,38.59664183,-121.423349
1/13/06 19:12,CENTER PKWY / BAMFORD DR,5,5B        ,1623,TOWED/STORED VEH-14602.6,7000,38.4702938,-121.4347565
1/13/06 19:19,2500 35TH ST,6,6A        ,1013,529 PC FALSE PERSONATION,2604,38.55451604,-121.4674364
1/13/06 19:30,8584 CHARENTE WAY,5,5C        ,1654,10851(A)VC TAKE VEH W/O OWNER,2404,38.44541326,-121.4128268
1/13/06 19:30,4132 55TH ST,6,6B        ,1065,MISCELLANEOUS I RPT (ZMISC),7000,38.53651384,-121.4424164
1/13/06 19:31,1801 SOUTH AVE,2,2A        ,516,MISCELLANEOUS I RPT (ZMISC),7000,38.63369822,-121.424418
1/13/06 19:31,BELL AVE / DAYTON ST,2,2A        ,226,TRAFFIC-ACCIDENT INJURY,5400,38.64721815,-121.4186959
1/13/06 19:45,5041 46TH ST,6,6B        ,1084,594(B)(1)PC  VANDALISM +$400,2999,38.5296347,-121.4520729
1/13/06 19:45,8291 MIDSUMMER WAY,5,5C        ,1634,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.45682246,-121.4292267
1/13/06 19:56,5610 STOCKTON BLVD,6,6B        ,1401,211 PC ROBBERY- BUSINESS,1299,38.52439535,-121.4428571
1/13/06 20:00,19TH AVE / 36TH ST,6,6A        ,1061,245(A)(2) AWDW/FIREARM/CIVILIA,1315,38.53538583,-121.4682014
1/13/06 20:00,1522 LOS ROBLES BLVD,2,2B        ,525,10851(A)VC TAKE VEH W/O OWNER,2404,38.62985421,-121.432273
1/13/06 20:00,1819 S ST,3,3A        ,776,459 PC  BURGLARY VEHICLE,2299,38.56756845,-121.4858657
1/13/06 20:00,EL CAMINO AVE / BUS 80 EB,2,2C        ,568,NON INJ HR/MAIL OUT REPORT,7000,38.61118933,-121.4265596
1/13/06 20:00,3150 NOTRE DAME DR,3,3C        ,1103,459 PC  BURGLARY VEHICLE,2299,38.54805148,-121.3994469
1/13/06 20:00,1890 ARDEN WAY,2,2C        ,628,459 PC  BURGLARY VEHICLE,2299,38.59642896,-121.4258245
1/13/06 20:00,5330 STOCKTON BLVD,6,6B        ,1084,484 PC PETTY THEFT,2399,38.52652786,-121.4443436
1/13/06 20:08,730 29TH ST,3,3B        ,728,CASUALTY REPORT,7000,38.57606751,-121.467125
1/13/06 20:10,12TH ST / L ST,3,3M        ,744,243(D) PC BATT/CIVILIAN W/INJ,1315,38.57739748,-121.491759
1/13/06 20:12,4072 WEYMOUTH LN,5,5B        ,1602,TOWED/STORED VEH-14602.6,7000,38.48340351,-121.4583909
1/13/06 20:20,WYNDHAM DR / VALLEY HI DR,5,5C        ,1624,TOWED/STORED VEH-14602.6,7000,38.46849636,-121.427181
1/13/06 20:21,24TH ST / KENWORTHY WAY,5,5A        ,1504,TOWED/STORED VEH-14602.6,7000,38.48046996,-121.4803338
1/13/06 20:26,5889 STOCKTON BLVD,6,6B        ,1401,12020(A)(4) PC DIRK/DAGGER,5212,38.51975733,-121.4394225
1/13/06 20:29,545 K ST,3,3M        ,742,475(A)PC POSS FORGED CHK/NOTE,2506,38.58052209,-121.4986248
1/13/06 20:30,5772 ORTEGA ST,6,6B        ,1402,594(B)(2)(A) VANDALISM/ -$400,2999,38.52160558,-121.4321517
1/13/06 20:45,3661 TRUXEL RD,1,1A        ,337,10851(A)VC TAKE VEH W/O OWNER,2404,38.63589608,-121.5055312
1/13/06 20:46,6701 GREENHAVEN DR,4,4C        ,1275,MISCELLANEOUS I RPT (ZMISC),7000,38.50539044,-121.5212972
1/13/06 21:00,1737 CORMORANT WAY,2,2C        ,606,10851(A)VC TAKE VEH W/O OWNER,2404,38.6071494,-121.4286533
1/13/06 21:00,1108 DOLORES WAY,3,3C        ,843,10851(A)VC TAKE VEH W/O OWNER,2404,38.56956597,-121.4584329
1/13/06 21:00,714 25TH ST,3,3B        ,728,459 PC  BURGLARY RESIDENCE,2204,38.57779356,-121.4722683
1/13/06 21:11,AMERICAN AVE / CLEVELAND AVE,1,1C        ,449,TOWED/STORED VEHICLE,7000,38.61030866,-121.4717582
1/13/06 21:16,6000 SANDLIN WAY,3,3C        ,847,10851(A)VC TAKE VEH W/O OWNER,2404,38.55700138,-121.4322547
1/13/06 21:18,6205 RIVERSIDE BLVD,4,4C        ,1265,5150 WI DANGER SELF/OTHERS,7000,38.51325652,-121.528402
1/13/06 21:19,1508 W EL CAMINO AVE,1,1B        ,444,TOWED/STORED VEH-14602.6,7000,38.61282301,-121.4955733
